Batch_ID,Brand,Vibe,Winning_Trace_ID,Simulated_CTR (%),Simulated_Likes,Simulated_Total_Reactions,Simulated_Total_Comments,DB_Reward_Score (reward_rt),DB_Visual_Score (vst),DB_Alignment_Score (at),DB_Like_Viral_Score (lv),DB_PPO_Clip_Score,Learned_Policy_Highest_Reward,Learned_Policy_Caption,Learned_Policy_Prompt,Local_JSON_Reward_Score,Winning_Headline_Extracted
1074,Huda Beauty,Minimalist,1355,9.2,18,0,0,16.96,4.6,1.8,10.6,0.5,16.96,"{""headline"": ""Bare Skin, No Filter"", ""body"": ""Ditch the dullness and reveal your natural glow with our Ultra Exfoliator. Perfect for prepping your skin for makeup or going bare-faced."", ""hashtags"": [""#NoFilter"", ""#NaturalGlow"", ""#HudaBeauty""]}",Generated for Minimalist vibe,16.96,"Bare Skin, No Filter"
1075,Huda Beauty,Luxury,1363,9.7,17,0,0,15.25,4.85,1.7,8.6,0.5,15.25,"{""headline"": ""Get Ready to Glow with Ultra Exfoliator"", ""body"": ""Say goodbye to dull skin and hello to a brighter, smoother complexion with Huda Beauty's Ultra Exfoliator. Formulated with the ultimate skin-clearing agent, Salicylic Acid."", ""hashtags"": [""#GlowingSkin"", ""#ExfoliateForGlory"", ""#HudaBeautyEssentials""]}",Generated for Luxury vibe,15.25,Get Ready to Glow with Ultra Exfoliator
1076,Huda Beauty,Nature,1370,8.0,17,0,0,24.34,4.0,1.7,18.6,0.5,24.34,"{""headline"": ""Blossom into Radiance"", ""body"": ""As the desert comes alive with vibrant colors and textures, Huda Beauty's Ultra Exfoliator brings your skin to life with its potent blend of Salicylic Acid. Nourish your skin, awaken its natural glow."", ""hashtags"": [""#HudaBeauty"", ""#DesertGlowUp"", ""#SkinRevolution""]}",Generated for Nature vibe,24.34,Blossom into Radiance
1077,Hourglass,Minimalist,1372,10.2,19,0,0,22.63,5.1,1.9,15.6,0.5,22.63,"{""headline"": ""Less is More, Naturally"", ""body"": ""Ditch the harsh chemicals and reveal your skin's true potential with our Ultra Moisturizer. Powered by nourishing Shea Butter for a smooth, healthy complexion."", ""hashtags"": [""#NaturalSkincare"", ""#LessIsMore"", ""#HealthyGlow""]}",Generated for Minimalist vibe,22.63,"Less is More, Naturally"
1078,Hourglass,Luxury,1375,7.2,18,0,0,19.3,3.6,1.8,13.8,0.5,19.3,"{""headline"": ""Get the Glow You Deserve with Ultra Moisturizer"", ""body"": ""Say goodbye to dry, dull skin and hello to a radiant complexion with Hourglass Ultra Moisturizer, enriched with nourishing Shea Butter."", ""hashtags"": [""#GlowingSkin"", ""#MoisturizeForGlow"", ""#HourglassLuxury""]}",Generated for Luxury vibe,19.3,Get the Glow You Deserve with Ultra Moisturizer
1079,Hourglass,Nature,1378,11.8,19,0,0,25.93,5.9,1.9,18.2,0.5,25.93,"{""headline"": ""Bloom into Radiance"", ""body"": ""Just as a flower blooms in the garden, your skin can radiate with Huda Beauty's Ultra Moisturizer. Formulated with the nourishing power of Shea Butter, unlock a softer, smoother you."", ""hashtags"": [""#HudaBeauty"", ""#GardenGlow"", ""#SoftSkinSecrets""]}",Generated for Nature vibe,25.93,Bloom into Radiance
1080,Bourjois,Minimalist,1382,6.8,20,0,0,19.23,3.4,2.0,13.8,0.5,19.23,"{""headline"": ""Less is More, Glossy"", ""body"": ""Ditch the dull and get ready to shine with our Magic Lip Gloss, featuring a unique blend of Salicylic Acid and nourishing ingredients."", ""hashtags"": [""#LipGlossLove"", ""#LessIsMore"", ""#GlossyLips""]}",Generated for Minimalist vibe,19.23,"Less is More, Glossy"
1081,Bourjois,Luxury,1385,7.4,19,0,0,21.94,3.7,1.9,16.4,0.5,21.94,"{""headline"": ""Elevate Your Lip Game with Magic Lip Gloss"", ""body"": ""Treat your lips to the ultimate luxury experience with Bourjois Magic Lip Gloss, featuring Salicylic Acid to help achieve a flawless, long-lasting finish."", ""hashtags"": [""#LipGlossPerfection"", ""#BourjoisBeautyEssentials"", ""#LuxuryLips""]}",Generated for Luxury vibe,21.94,Elevate Your Lip Game with Magic Lip Gloss
1082,Bourjois,Nature,1386,8.1,20,0,0,21.48,4.05,2.0,15.4,0.5,21.48,"{""headline"": ""Thrive in Vibrance"", ""body"": ""Just as a blooming flower unfurls its petals, Bourjois Magic Lip Gloss brings radiance to your lips. Formulated with Salicylic Acid, reveal a brighter, smoother you."", ""hashtags"": [""#Bourjois"", ""#LipGlossLove"", ""#NatureNails""]}",Generated for Nature vibe,21.48,Thrive in Vibrance
1083,Farsali,Minimalist,1390,7.1,19,0,0,21.0,3.55,1.9,15.6,0.5,21.0,"{""headline"": ""Clean Beauty, Simplified"", ""body"": ""Experience the power of Retinol in our Ultra Makeup Remover. Gentle, effective, and free from harsh chemicals. Reveal your natural glow, effortlessly."", ""hashtags"": [""#CleanBeauty"", ""#MakeupRemovalTips"", ""#NaturalGlow""]}",Generated for Minimalist vibe,21.0,"Clean Beauty, Simplified"
1084,Farsali,Luxury,1392,8.0,18,0,0,16.72,4.0,1.8,11.0,0.5,16.72,"{""headline"": ""Unlock Radiant Skin with Ultra Makeup Remover"", ""body"": ""Experience the ultimate in luxury skincare with Farsali's Ultra Makeup Remover, formulated with Retinol for a radiant and rejuvenated complexion."", ""hashtags"": [""#LuxurySkincare"", ""#FarsaliBeauty"", ""#RetinolRadiance""]}",Generated for Luxury vibe,16.72,Unlock Radiant Skin with Ultra Makeup Remover
1085,Farsali,Nature,1396,10.9,20,0,0,17.29,5.45,2.0,9.8,0.5,17.29,"{""headline"": ""Blossom into Clean Skin"", ""body"": ""Just as a flower blooms in the garden, your skin can flourish with Farsali's Ultra Makeup Remover. Harness the power of Retinol for a flawless, nature-inspired look."", ""hashtags"": [""#Farsali"", ""#FlawlessSkin"", ""#NatureLovers""]}",Generated for Nature vibe,17.29,Blossom into Clean Skin
1086,Sisley,Minimalist,1398,11.6,19,0,0,18.49,5.8,1.9,10.8,0.5,18.49,"{""headline"": ""Define Your Look, Naturally"", ""body"": ""Say goodbye to imperfections and hello to precise lines with our Ultra Eyeliner, formulated with Salicylic Acid for a smooth application."", ""hashtags"": [""#NaturalBeauty"", ""#EyelinerGoals"", ""#SalicylicAcidBenefits""]}",Generated for Minimalist vibe,18.49,"Define Your Look, Naturally"
1087,Sisley,Luxury,1401,11.6,20,0,0,23.91,5.8,2.0,16.2,0.5,23.91,"{""headline"": ""Define Your Look with Ultra Eyeliner - Elevate Your Eye Art"", ""body"": ""Experience the ultimate luxury in eye makeup with Sisley Ultra Eyeliner, formulated with Salicylic Acid for a smooth, precise line."", ""hashtags"": [""#UltraEyelinerExperience"", ""#SisleyLuxuryMakeup"", ""#EyeMakeupArtistry""]}",Generated for Luxury vibe,23.91,Define Your Look with Ultra Eyeliner - Elevate Your Eye Art
1089,Sisley,Nature,1411,8.1,20,0,0,19.93,4.05,2.0,13.8,0.5,19.93,"{""headline"": ""Petals of Precision"", ""body"": ""Just as delicate flowers require care, your eyes deserve the finest. Ultra Eyeliner's Salicylic Acid formula helps create a precise, long-lasting look."", ""hashtags"": [""#SisleyBeauty"", ""#PetalsOfPrecision"", ""#EyeCatchingLooks""]}",Generated for Nature vibe,19.93,Petals of Precision
1091,Sisley,Luxury,1416,9.9,20,0,0,20.91,4.95,2.0,14.0,0.5,20.91,"{""headline"": ""Unveil Radiant Skin with Magic Face Mask - The Essence of Luxury Skincare"", ""body"": ""Indulge in the opulence of Sisley's Magic Face Mask, crafted with the finest Shea Butter for a radiant, velvety complexion."", ""hashtags"": [""#LuxurySkincareEssentials"", ""#SisleyMagicFaceMask"", ""#SheaButterGlow""]}",Generated for Luxury vibe,20.91,Unveil Radiant Skin with Magic Face Mask - The Essence of Luxury Skincare
1092,Sisley,Nature,1419,11.1,19,0,0,23.15,5.55,1.9,15.8,0.5,23.15,"{""headline"": ""Nourish Your Nature"", ""body"": ""Just as a tree flourishes in the forest, your skin can thrive with Sisley's Magic Face Mask. Formulated with the rich power of Shea Butter, unlock a healthier, happier you."", ""hashtags"": [""#SisleyNature"", ""#SheaButterLove"", ""#GlowingSkinSecrets""]}",Generated for Nature vibe,23.15,Nourish Your Nature
1094,Anastasia Beverly Hills,Luxury,1426,11.1,19,0,0,17.32,5.55,1.9,9.8,0.5,17.32,"{""headline"": ""Define Your Look with Divine Mascara - Where Luxury Meets Precision"", ""body"": ""Experience the epitome of luxury eye makeup with Anastasia Beverly Hills' Divine Mascara, crafted with Retinol to create the perfect, long-lasting lash look."", ""hashtags"": [""#DivineMascara"", ""#LuxuryEyeMakeup"", ""#AnastasiaBeverlyHills""]}",Generated for Luxury vibe,17.32,Define Your Look with Divine Mascara - Where Luxury Meets Precision
1095,Anastasia Beverly Hills,Nature,1429,9.9,20,0,0,17.28,4.95,2.0,10.4,0.5,17.28,"{""headline"": ""Blossoming Beauty"", ""body"": ""Just as a flower blooms in the spring, your lashes can burst with color and life using Anastasia Beverly Hills' Divine Mascara. Powered by retinol, discover a more radiant you."", ""hashtags"": [""#AnastasiaBeverlyHills"", ""#LashBlossom"", ""#RetinolRevival""]}",Generated for Nature vibe,17.28,Blossoming Beauty
1096,Farsali,Minimalist,1433,11.3,20,0,0,26.82,5.65,2.0,19.2,0.5,26.82,"{""headline"": ""Less is More, Beautifully"", ""body"": ""Embracing a skincare revolution that's all about simplicity and effectiveness. Our Salicylic Acid Lip Gloss is the perfect blend of natural ingredients and cutting-edge formulation."", ""hashtags"": [""#NaturalRevolution"", ""#SimplicityMeetsEffectiveness"", ""#SkincareEvolved""]}",Generated for Minimalist vibe,26.82,"Less is More, Beautifully"
1097,Farsali,Luxury,1439,9.7,20,0,0,20.33,4.85,2.0,13.4,0.5,20.33,"{""headline"": ""Define Your Luxe Look with Farsali Super Lip Gloss - Timeless Elegance"", ""body"": ""Discover the art of luxury beauty with Farsali's Super Lip Gloss, expertly formulated with Salicylic Acid to deliver a rich, vibrant finish that exudes timeless elegance."", ""hashtags"": [""#FarsaliLuxeBeauty"", ""#TimelessElegance"", ""#SuperLipGloss""]}",Generated for Luxury vibe,20.33,Define Your Luxe Look with Farsali Super Lip Gloss - Timeless Elegance
1098,Farsali,Nature,1444,8.6,18,0,0,23.79,4.3,1.8,17.6,0.5,23.79,"{""headline"": ""Blossoming Beauty Within"", ""body"": ""As a flower blooms with the warmth of the sun, your lips can radiate with Farsali's Super Lip Gloss. Infused with the gentle power of Salicylic Acid, discover a more vibrant, radiant you."", ""hashtags"": [""#FarsaliBeauty"", ""#LipGlossObsessed"", ""#GlowingSkin""]}",Generated for Nature vibe,23.79,Blossoming Beauty Within
1099,Too Faced,Minimalist,1446,6.0,18,0,0,20.65,3.0,1.8,15.8,0.5,20.65,"{""headline"": ""Minimalist Magic"", ""body"": ""Experience the simplicity and power of our Magic Powder, formulated with Hyaluronic Acid for effortless beauty."", ""hashtags"": [""#MinimalistBeauty"", ""#EffortlessGlow"", ""#HydrateYourSkin""]}",Generated for Minimalist vibe,20.65,Minimalist Magic
1100,Too Faced,Luxury,1452,10.8,19,0,0,23.15,5.4,1.9,15.8,0.5,23.15,"{""headline"": ""Unlock Your Radiance with Magic Powder - Elevate Your Complexion"", ""body"": ""Indulge in the ultimate luxury makeup experience with Magic Powder from Too Faced, expertly formulated with Hyaluronic Acid for a radiant, long-lasting finish."", ""hashtags"": [""#LuxuryMakeupElevated"", ""#MagicPowderExperience"", ""#TooFacedLuxury""]}",Generated for Luxury vibe,23.15,Unlock Your Radiance with Magic Powder - Elevate Your Complexion
1102,Becca,Minimalist,1458,8.9,19,0,0,22.09,4.45,1.9,15.8,0.5,22.09,"{""headline"": ""Defined by Nature"", ""body"": ""Elevate your look with a subtle yet powerful contour. Our Super Contour is formulated with Glycerin to provide long-lasting hydration and a seamless finish."", ""hashtags"": [""#NaturalElegance"", ""#HydrateAndDefine"", ""#SkincareEssentials""]}",Generated for Minimalist vibe,22.09,Defined by Nature
1103,Becca,Luxury,1461,0.0,0,0,0,-2.77,0.0,0.0,-2.8,-0.3361,-2.77,"{""headline"": ""Reveal Your Radiance with Super Contour - Elevate Your Face Art"", ""body"": ""Indulge in the ultimate luxury of precise definition with Becca Super Contour, formulated with Glycerin for a smooth, long-lasting finish."", ""hashtags"": [""#SuperContourExperience"", ""#BeccaLuxuryMakeup"", ""#FaceMakeupArtistry""]}",Generated for Luxury vibe,-2.77,Reveal Your Radiance with Super Contour - Elevate Your Face Art
1104,Becca,Nature,1467,0.0,0,0,0,-2.77,0.0,0.0,-2.8,-0.4549,-2.77,"{""headline"": ""Rooted in Perfection"", ""body"": ""Just as a tree's roots dig deep into the earth, our Super Contour digs deep into your skin to uncover a flawless, defined you. Formulated with Glycerin for long-lasting hold."", ""hashtags"": [""#BeccaBeauty"", ""#ContourLove"", ""#GlowUp""]}",Generated for Nature vibe,-2.77,Rooted in Perfection
